halt_punkt_id,halt_punkt_diva,halt_id,GPS_Latitude,GPS_Longitude,GPS_Bearing,halt_punkt_ist_aktiv
10887,10,2198,"47,414431","8,480208",79,True
10888,80,2482,"47,406029","8,584808",155,True
10889,20,2802,"47,364438","8,502784",148,True
10890,51,2380,"47,396376","8,447983",178,True
10891,21,2532,"47,388793","8,470304",317,True
10892,20,2482,"47,406893","8,586629",103,True
10893,50,2034,"47,421784","8,409367",293,True
10894,81,2406,"47,402604","8,553348",231,True
10895,20,2534,"47,387706","8,488499",15,True
10896,20,2862,"47,373750","8,500547",79,True
10897,52,1312,"47,405679","8,404609",160,True
10898,21,2564,"47,375431","8,484902",272,True
10899,20,2468,"47,410749","8,558448",87,True
10901,21,2533,"47,389896","8,486842",189,True
10902,21,2535,"47,387247","8,486339",196,False
10903,21,1310,"47,390244","8,479024",33,True
10904,10,2781,"47,360879","8,525589",172,True
10905,50,2338,"47,417449","8,396487",130,True
10906,20,2830,"47,384608","8,576958",212,False
10907,20,2422,"47,407102","8,572734",172,True
10908,21,2566,"47,410765","8,524036",333,False
10909,20,2537,"47,389491","8,472163",120,True
10910,0,1531,"47,368050","8,560314",137,False
10911,20,2619,"47,399101","8,521613",108,True
10913,50,2480,"47,427780","8,398029",161,False
10915,10,2758,"47,388207","8,534120",167,True
10916,50,2906,"47,413136","8,448778",151,True
10917,20,2601,"47,402594","8,567365",146,True
10921,0,1905,"47,364041","8,566235",30,False
10922,21,1851,"47,358023","8,522235",115,False
10923,20,1499,"47,332962","8,534693",110,True
10924,21,2530,"47,391010","8,469734",319,False
10925,50,2350,"47,422256","8,373990",78,True
10926,20,2530,"47,390923","8,469769",135,False
10927,21,1580,"47,406174","8,591092",235,False
10928,20,1846,"47,410039","8,572214",181,True
10929,50,2674,"47,338532","8,538261",159,True
10930,22,1934,"47,420795","8,548164",37,False
10932,50,2412,"47,377749","8,422828",135,True
10933,20,2144,"47,382484","8,506469",,False
10934,50,2339,"47,425765","8,400228",143,True
10935,22,2619,"47,399026","8,521903",82,True
10936,10,2632,"47,353975","8,526097",166,True
10938,21,1907,"47,336901","8,520430",62,True
10939,80,2812,"47,404771","8,576474",69,True
10940,20,2707,"47,419996","8,535065",250,True
10941,21,2829,"47,374610","8,495029",280,True
10943,50,2498,"47,331589","8,538158",311,True
10944,51,2158,"47,313563","8,533302",99,False
10946,20,1310,"47,390834","8,479357",22,True
10947,1,1511,"47,343538","8,530146",333,False
10948,20,2843,"47,426359","8,536574",18,True
10949,1,2671,"47,402732","8,491771",290,False
10950,20,2617,"47,423753","8,522975",31,True
10951,3,1305,"47,370410","8,549150",,True
10952,10,2607,"47,401804","8,499808",103,True
10953,11,2454,"47,414207","8,519309",283,True
10954,51,2782,"47,318698","8,545696",39,True
10955,21,1934,"47,419982","8,547828",332,False
10956,10,1845,"47,418836","8,507131",114,True
10957,20,2829,"47,374575","8,494936",99,True
10958,50,2500,"47,326188","8,539475",140,True
10959,51,1536,"47,315068","8,535820",328,False
10960,21,1557,"47,371628","8,523703",317,True
10961,22,1885,"47,412286","8,542100",140,False
10962,20,2375,"47,404466","8,557971",92,True
10963,20,2301,"47,415028","8,557809",,False
10964,20,1454,"47,412096","8,483807",86,True
10965,20,2463,"47,405730","8,553838",123,True
10977,0,1938,"47,376824","8,544188",58,False
10981,51,891,"47,368056","8,462766",130,False
10982,50,143,"47,360153","8,456180",266,False
10983,3,2302,"47,380301","8,544102",357,False
10984,3,1565,"47,367237","8,545284",333,False
10985,1,1557,"47,371243","8,524012",68,False
10986,51,2250,"47,376803","8,513757",305,True
10987,0,2302,"47,379163","8,544975",319,False
10988,1,1938,"47,376801","8,543539",281,True
